user_id,事件,时间,顺序
1182774692411346944,Game_Level_enter,2023-12-21 16:35:08.504,1
1182774692411346944,equipment,2023-12-21 16:34:48.103,2
1182774692411346944,equipment,2023-12-21 16:34:48.103,2
1182696032014704640,equipment,2023-12-10 19:07:21.621,1
1182696032014704640,Game_Level_enter,2023-12-10 18:59:15.841,2
1182696032014704640,equipment,2023-12-10 18:58:57.525,3
1182084987768279040,role_recruit,2023-12-08 16:19:04.683,1
1182084987768279040,role_recruit,2023-12-08 16:18:42.250,2
1182084987768279040,role_recruit,2023-12-08 16:18:40.266,3
1181660782652297216,equipment,2023-12-08 18:11:25.476,1
1181660782652297216,equipment,2023-12-08 18:11:19.758,2
1181660782652297216,equipment,2023-12-08 18:11:19.757,3
1182785062530195456,draw_card,2023-12-16 19:58:52.886,1
1182785062530195456,equipment,2023-12-16 19:58:52.768,2
1182785062530195456,role_recruit,2023-12-09 23:41:45.641,3
1182785153093607424,equipment,2023-12-29 17:52:40.450,1
1182785153093607424,equipment,2023-12-29 17:52:32.311,2
1182785153093607424,equipment,2023-12-29 17:52:10.637,3
1182815209140527106,equipment,2023-12-12 22:18:13.514,1
1182815209140527106,equipment,2023-12-12 22:18:05.828,2
1182815209140527106,equipment,2023-12-12 22:18:05.826,3
1182792843530346496,equipment,2023-12-10 10:38:30.221,1
1182792843530346496,draw_card,2023-12-10 10:37:33.670,2
1182792843530346496,equipment,2023-12-10 10:37:33.436,3
1182801447129976832,Game_Level_enter,2023-12-10 20:19:50.247,1
1182801447129976832,equipment,2023-12-10 20:19:27.667,2
1182801447129976832,Game_Level_enter,2023-12-10 20:11:26.776,3
1181904751642550272,equipment,2023-12-08 19:02:36.916,1
1181904751642550272,equipment,2023-12-08 19:02:35.183,2
1181904751642550272,equipment,2023-12-08 19:02:34.563,3
1184797258755874816,equipment,2023-12-16 10:42:22.676,1
1184797258755874816,equipment,2023-12-16 10:42:19.657,2
1184797258755874816,equipment,2023-12-16 10:42:14.513,3
1184903898133966848,Game_Level_enter,2023-12-16 19:18:27.341,1
1184903898133966848,equipment,2023-12-16 10:34:00.744,2
1184903898133966848,equipment,2023-12-16 10:33:56.916,3
1182427580028948480,draw_card,2023-12-14 18:38:37.959,1
1182427580028948480,equipment,2023-12-14 18:38:37.827,2
1182427580028948480,equipment,2023-12-14 18:38:37.826,3
1184883372279734272,Game_Level_enter,2023-12-16 18:13:59.447,1
1184883372279734272,equipment,2023-12-16 18:10:56.033,2
1184883372279734272,equipment,2023-12-16 18:10:54.778,3
1184914572335648768,role_recruit,2023-12-14 18:55:09.729,1
1184914572335648768,Game_Level_enter,2023-12-14 18:47:36.316,2
1184884562807754752,Game_Level_enter,2023-12-20 15:48:55.155,1
1184884562807754752,role_recruit,2023-12-16 13:03:01.713,2
1184884562807754752,Game_Level_enter,2023-12-16 12:50:11.769,3
1180112429871271936,role_recruit,2023-12-05 01:05:32.545,1
1180112429871271936,equipment,2023-12-05 01:02:57.098,2
