用户id,金币余额,绿币余额,ad_name,通用奖励翻倍原因,累计游戏场次,reward
1.16331E+18,2540000,1.96,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.05"
1.16333E+18,540000,3.98,ad_video_starfish,,2,"金币:undefined,绿币:0.03"
1.16258E+18,540000,3.45,ad_video_starfish,,2,"金币:0,绿币:0.53"
1.16318E+18,1000000,1.66,ad_video_wild,,1,"金币:0,绿币:0.26"
1.16336E+18,540000,1.72,ad_video_wild,,2,"金币:0,绿币:0.53"
1.16339E+18,740000,0.55,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16339E+18,540000,0.67,ad_video_wild,,2,"金币:undefined,绿币:0.03"
1.16339E+18,540000,2.12,ad_video_popup_bonus,礼物-在线奖励,1,"金币:0,绿币:0.29"
1.16337E+18,180000,2.54,ad_video_popup_bonus,标记海星,3,"金币:undefined,绿币:0.03"
1.16295E+18,520000,0.48,ad_video_checkin_remedy,,0,"金币:0,绿币:0.21"
1.16323E+18,600000,1.77,ad_video_wild,,2,"金币:100000,绿币:0"
1.16256E+18,1040000,1.82,ad_video_popup_bonus,标记海星,2,"金币:18265,绿币:undefined"
1.16257E+18,580000,2.99,ad_video_popup_bonus,标记海星,3,"金币:undefined,绿币:0.04"
1.16315E+18,740000,1.51,ad_video_popup_bonus,任务奖励,1,"金币:0,绿币:0.23"
1.16312E+18,180000,1.95,ad_video_wild,,2,"金币:0,绿币:0.4"
1.16315E+18,740000,1.05,ad_video_starfish,,2,"金币:undefined,绿币:0.04"
1.16347E+18,540000,1.88,ad_video_details_powerup,,1,"金币:0,绿币:0.21"
1.16343E+18,840000,2.09,ad_video_starfish,,2,"金币:undefined,绿币:0.05"
1.16344E+18,640000,1.5,ad_video_starfish,,2,"金币:undefined,绿币:0.04"
1.16343E+18,1140000,1.55,ad_video_starfish,,2,"金币:0,绿币:0.26"
1.16344E+18,540000,0.2,ad_video_details_bingo,,0,"金币:0,绿币:0.24"
1.16347E+18,540000,2.06,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.05"
1.16345E+18,1540000,1.58,ad_video_starfish,,2,"金币:undefined,绿币:0.03"
1.16272E+18,540000,1.6,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:1.01"
1.16343E+18,640000,1.65,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16343E+18,540000,2.12,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.52"
1.16342E+18,740000,0.59,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16342E+18,740000,0.45,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16303E+18,940000,2.67,ad_video_starfish,,2,"金币:0,绿币:0.24"
1.16341E+18,640000,0.39,ad_video_popup_bonus,标记海星,2,"金币:11390,绿币:undefined"
1.16338E+18,520000,0,ad_video_checkin_remedy,,0,"金币:undefined,绿币:0.04"
1.16342E+18,540000,1.36,ad_video_popup_bonus,礼物-在线奖励,2,"金币:0,绿币:0.58"
1.16342E+18,640000,1.22,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16343E+18,740000,0.79,ad_video_details_bingo,,2,"金币:0,绿币:0.25"
1.1634E+18,640000,1.03,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16343E+18,540000,3.74,ad_video_starfish,,2,"金币:100000,绿币:0"
1.16333E+18,740000,1.08,ad_video_popup_bonus,,2,"金币:undefined,绿币:0.02"
1.1631E+18,540000,0.27,ad_video_popup_bonus,礼物-在线奖励,0,"金币:0,绿币:0.29"
1.16258E+18,740000,1.84,ad_video_popup_bonus,任务奖励,1,"金币:undefined,绿币:0.14"
1.16332E+18,581000,2.3,ad_video_cashgame_num,,3,"金币:0,绿币:0.72"
1.16322E+18,820000,2.12,ad_video_popup_bonus,礼物-在线奖励,2,"金币:0,绿币:0.99"
1.16309E+18,540000,1.97,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.63"
1.16311E+18,540000,6.44,ad_video_starfish,,1,"金币:100000,绿币:0"
1.16309E+18,580000,1.86,ad_video_popup_bonus,礼物-在线奖励,2,"金币:undefined,绿币:0.04"
1.16309E+18,540000,1.33,ad_video_popup_bonus,任务奖励,1,"金币:undefined,绿币:0.03"
1.16311E+18,640000,0.87,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.1631E+18,540000,1.52,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16289E+18,540000,2.94,ad_video_starfish,,2,"金币:0,绿币:0.7"
1.16314E+18,5640000,1.13,ad_video_wild,,2,"金币:0,绿币:1.02"
1.16317E+18,643000,4.28,ad_video_starfish,,2,"金币:0,绿币:0.59"
1.16268E+18,1243000,3.77,ad_video_cashgame_num,,1,"金币:0,绿币:0.75"
1.16274E+18,580000,1.19,ad_video_popup_bonus,标记海星,1,"金币:undefined,绿币:0.05"
1.16414E+18,640000,2.79,ad_video_starfish,,2,"金币:0,绿币:0.74"
1.1639E+18,280000,1.05,ad_video_wild,,2,"金币:0,绿币:0.27"
1.16407E+18,1140000,1.73,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.01"
1.16399E+18,540000,1.24,ad_video_wild,,2,"金币:undefined,绿币:0.03"
1.16383E+18,540000,1.76,ad_video_popup_bonus,任务奖励,1,"金币:undefined,绿币:0.03"
1.1638E+18,640000,0.43,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.99"
1.16379E+18,540000,2.87,ad_video_gift_ad,,1,"金币:0,绿币:0.2"
1.16417E+18,540000,2.95,ad_video_popup_bonus,任务奖励,1,"金币:undefined,绿币:0.03"
1.16411E+18,540000,3.06,ad_video_popup_bonus,任务奖励,1,"金币:0,绿币:0.28"
1.16413E+18,540000,0.61,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16413E+18,700000,1.32,ad_video_wild,,3,"金币:undefined,绿币:0.05"
1.16416E+18,540000,2.7,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16365E+18,740000,1.64,ad_video_starfish,,2,"金币:0,绿币:0.79"
1.16414E+18,540000,2.09,ad_video_starfish,,2,"金币:undefined,绿币:0.03"
1.16416E+18,540000,1.13,ad_video_cashgame_num,,1,"金币:0,绿币:0.33"
1.16414E+18,520000,0,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16414E+18,1243000,5.4,ad_video_starfish,,0,"金币:0,绿币:0.24"
1.16416E+18,1040000,4.56,ad_video_wild,,2,"金币:undefined,绿币:0.04"
1.16413E+18,640000,1.77,ad_video_starfish,,2,"金币:0,绿币:0.7"
1.16355E+18,640000,1.02,ad_video_checkin_remedy,,0,"金币:100000,绿币:0"
1.16414E+18,640000,0.96,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.02"
1.16413E+18,740000,1.15,ad_video_popup_bonus,礼物-在线奖励,1,"金币:undefined,绿币:0.04"
1.16397E+18,540000,1.17,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.67"
1.16254E+18,940000,2.08,ad_video_starfish,,2,"金币:undefined,绿币:0.03"
1.16416E+18,643000,3.5,ad_video_gift_ad,,1,"金币:0,绿币:1"
1.1635E+18,540000,1.07,ad_video_starfish,,2,"金币:0,绿币:0.57"
1.1641E+18,1040000,1.65,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.05"
1.1626E+18,290000,1.23,ad_video_details_bingo,,2,"金币:undefined,绿币:0.04"
1.16406E+18,1143000,1.7,ad_video_cashgame_num,,1,"金币:0,绿币:0.99"
1.1641E+18,640000,1.09,ad_video_popup_bonus,任务奖励,1,"金币:0,绿币:0.21"
1.16408E+18,640000,2.95,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.05"
1.16379E+18,330000,3.15,ad_video_popup_bonus,任务奖励,0,"金币:0,绿币:0.63"
1.16377E+18,1040000,1.1,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.54"
1.16412E+18,540000,4.52,ad_video_popup_bonus,礼物-在线奖励,1,"金币:0,绿币:0.53"
1.16269E+18,1040000,3.02,ad_video_starfish,,0,"金币:0,绿币:0.77"
1.16393E+18,640000,1.14,ad_video_popup_bonus,任务奖励,1,"金币:0,绿币:0.28"
1.16391E+18,540000,1.38,ad_video_starfish,,2,"金币:0,绿币:0.29"
1.16394E+18,540000,3.04,ad_video_wild,,2,"金币:0,绿币:0.6"
1.16335E+18,640000,0.21,ad_video_popup_bonus,,2,"金币:0,绿币:0.5"
1.16361E+18,540000,1.64,ad_video_wild,,2,"金币:5000,绿币:0"
1.16395E+18,180000,1.87,ad_video_starfish,,3,"金币:0,绿币:0.2"
1.16371E+18,544410,1.16,ad_video_details_powerup,,0,"金币:500000,绿币:0"
1.16368E+18,640000,1.42,ad_video_popup_bonus,任务奖励,1,"金币:0,绿币:0.62"
1.16402E+18,540000,2.74,ad_video_starfish,,2,"金币:undefined,绿币:0.05"
1.16282E+18,1140000,1.88,ad_video_wild,,1,"金币:490000,绿币:0"
1.1639E+18,1540000,1.72,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.02"
1.16396E+18,380000,1.19,ad_video_wild,,1,"金币:undefined,绿币:0.03"
1.16304E+18,540000,2.19,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16395E+18,540000,0.93,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16396E+18,771000,2.97,ad_video_starfish,,6,"金币:0,绿币:0.22"
1.16398E+18,643000,3.89,ad_video_starfish,,2,"金币:0,绿币:0.22"
1.16401E+18,640000,1.75,ad_video_cashgame_num,,1,"金币:0,绿币:0.29"
1.1636E+18,2643000,1.96,ad_video_gift_ad,,1,"金币:5000,绿币:0"
1.16386E+18,740000,0.91,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.1636E+18,637000,7.38,ad_video_starfish,,4,"金币:0,绿币:0.57"
1.16356E+18,540000,0.74,ad_video_popup_bonus,礼物-在线奖励,1,"金币:0,绿币:0.64"
1.16404E+18,640000,0.96,ad_video_popup_bonus,任务奖励,1,"金币:21596,绿币:undefined"
1.1638E+18,640000,1.24,ad_video_wild,,2,"金币:0,绿币:0.24"
1.16405E+18,540000,1.51,ad_video_popup_bonus,任务奖励,1,"金币:undefined,绿币:0.03"
1.16363E+18,540000,0.83,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.25"
1.16372E+18,6043000,3.48,ad_video_gift_ad,,2,"金币:undefined,绿币:0.04"
1.16406E+18,540000,1.04,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16371E+18,740000,2.25,ad_video_wild,,2,"金币:0,绿币:1"
1.16399E+18,640000,1.72,ad_video_popup_bonus,任务奖励,1,"金币:undefined,绿币:0.05"
1.164E+18,540000,3.32,ad_video_gift_ad,,1,"金币:0,绿币:0.66"
1.16355E+18,640000,1.68,ad_video_popup_bonus,标记海星,2,"金币:5000,绿币:0"
1.16382E+18,720000,2.39,ad_video_wild,,3,"金币:undefined,绿币:0.05"
1.16394E+18,540000,0.59,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.03"
1.16331E+18,680000,1.48,ad_video_login_recovery,,0,"金币:0,绿币:0.79"
1.16346E+18,3040000,1.27,ad_video_details_bingo,,1,"金币:0,绿币:0.73"
1.16392E+18,280000,1.39,ad_video_wild,,2,"金币:0,绿币:0.53"
1.16391E+18,540000,0.93,ad_video_popup_bonus,任务奖励,1,"金币:undefined,绿币:0.14"
1.16365E+18,640000,0,ad_video_wild,,1,"金币:0,绿币:1"
1.16385E+18,580000,2.1,ad_video_popup_bonus,标记海星,4,"金币:undefined,绿币:0.04"
1.16379E+18,1540000,1.82,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.27"
1.16279E+18,640000,0.72,ad_video_details_bingo,,1,"金币:0,绿币:0.74"
1.16344E+18,280000,1.83,ad_video_wild,,2,"金币:0,绿币:0.59"
1.16387E+18,5640000,2.42,ad_video_wild,,2,"金币:0,绿币:0.73"
1.16389E+18,540000,1.3,ad_video_popup_bonus,标记海星,2,"金币:100000,绿币:0"
1.16307E+18,740000,0.73,ad_video_wild,,2,"金币:undefined,绿币:0.05"
1.16363E+18,1040000,1.15,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.24"
1.16347E+18,180000,0,ad_video_wild,,1,"金币:undefined,绿币:0.05"
1.16376E+18,640000,1.25,ad_video_starfish,,2,"金币:0,绿币:0.54"
1.1636E+18,1040000,3.93,ad_video_popup_bonus,礼物-在线奖励,0,"金币:undefined,绿币:0.03"
1.16358E+18,1440000,1.36,ad_video_popup_bonus,礼物-在线奖励,2,"金币:0,绿币:0.26"
1.16373E+18,740000,0,ad_video_wild,,1,"金币:0,绿币:0.6"
1.16361E+18,750000,0,ad_video_cashgame_num,,1,"金币:0,绿币:0.7"
1.16383E+18,540000,0.69,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16384E+18,540000,2.07,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.05"
1.16288E+18,540000,1.84,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16349E+18,680000,0.99,ad_video_wild,,2,"金币:undefined,绿币:0.04"
1.16383E+18,540000,2.89,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:1.02"
1.16347E+18,1540000,0.66,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.63"
1.16267E+18,640000,2.32,ad_video_starfish,,1,"金币:0,绿币:0.6"
1.16351E+18,1040000,0.96,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.02"
1.16379E+18,1181000,1.6,ad_video_popup_bonus,礼物-在线奖励,1,"金币:100000,绿币:0"
1.16275E+18,1040000,2.78,ad_video_starfish,,2,"金币:0,绿币:0.5"
1.16284E+18,1220000,4.54,ad_video_details_bingo,,3,"金币:0,绿币:0.99"
1.16282E+18,540000,1.62,ad_video_details_powerup,,1,"金币:0,绿币:0.27"
1.16277E+18,1180000,0.5,ad_video_wild,,2,"金币:100000,绿币:0"
1.16279E+18,740000,2.74,ad_video_details_bingo,,1,"金币:undefined,绿币:0.04"
1.1628E+18,540000,1.76,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.74"
1.16294E+18,640000,1.95,ad_video_starfish,,2,"金币:undefined,绿币:0.04"
1.16283E+18,540000,1.8,ad_video_starfish,,2,"金币:0,绿币:0.57"
1.16301E+18,640000,1,ad_video_popup_bonus,礼物-在线奖励,1,"金币:0,绿币:0.69"
1.16303E+18,640000,1.13,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.02"
1.16283E+18,1040000,2.71,ad_video_wild,,2,"金币:undefined,绿币:0.04"
1.16298E+18,640000,1.09,ad_video_cashgame_num,,2,"金币:0,绿币:0.99"
1.16302E+18,740000,0.33,ad_video_wild,,2,"金币:undefined,绿币:0.14"
1.16261E+18,640000,0.28,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.163E+18,540000,2.03,ad_video_popup_bonus,任务奖励,1,"金币:0,绿币:0.23"
1.16303E+18,293000,2.3,ad_video_starfish,,3,"金币:0,绿币:0.5"
1.16303E+18,540000,2.08,ad_video_popup_bonus,标记海星,1,"金币:undefined,绿币:0.05"
1.16278E+18,656000,0,ad_video_popup_bonus,标记海星,4,"金币:0,绿币:0.4"
