$part_date,#user_id,金币余额,绿币余额,广告场景,ad_name,翻倍奖励原因,累计游戏次数,奖励金额,资源类型
2023/10/14,1.16285E+18,1440000,1.51,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,1.51,绿币
2023/10/13,1.16142E+18,5728494,60.64,通用翻倍奖励,ad_video_popup_bonus,任务奖励,0,290177,金币
2023/10/13,1.16199E+18,2065768,23.23,cash game获得幸运数字,ad_video_cashgame_num,,1,2.99,绿币
2023/10/14,1.15884E+18,265000,0.96,bingo额外wild技能广告,ad_video_wild,,4,400000,金币
2023/10/15,1.16342E+18,540000,1.42,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,1.22,绿币
2023/10/15,1.15367E+18,519986,22.61,登录奖励恢复连续登录,ad_video_login_recovery,,1,0.13,绿币
2023/10/15,1.1634E+18,540000,0.57,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,0.47,绿币
2023/10/13,1.16186E+18,13931867,20.76,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,40000,金币
2023/10/15,1.16342E+18,740000,0.95,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,0.95,绿币
2023/10/15,1.16342E+18,540000,2.22,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.02,绿币
2023/10/14,1.16289E+18,640000,2.54,通用翻倍奖励,ad_video_popup_bonus,标记海星,1,2.54,绿币
2023/10/13,1.15828E+18,42698000,66.45,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,0,500000,金币
2023/10/13,1.16091E+18,8035241,40.4,7日签到双倍奖励广告,ad_video_checkin_double,,0,462001,金币
2023/10/15,1.16327E+18,740000,1.96,cash game获得幸运数字,ad_video_cashgame_num,,2,1.11,绿币
2023/10/15,1.15879E+18,6667085,46.41,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,0,0.1,绿币
2023/10/15,1.16342E+18,2540000,1.59,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.59,绿币
2023/10/15,1.16329E+18,540000,1.66,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,1.46,绿币
2023/10/15,1.16338E+18,640000,1.77,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,0,1.57,绿币
2023/10/15,1.16343E+18,540000,0.35,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.25,绿币
2023/10/15,1.16316E+18,43000,3.58,看广告开启活动场次-海星之旅,ad_video_starfish,,5,2.06,绿币
2023/10/15,1.16317E+18,540000,0.2,bingo额外wild技能广告,ad_video_wild,,1,20000,金币
2023/10/15,1.16336E+18,1040000,1.88,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.88,绿币
2023/10/15,1.16343E+18,180000,1.51,bingo额外wild技能广告,ad_video_wild,,2,1.41,绿币
2023/10/15,1.16344E+18,740000,1.01,看广告开启活动场次-海星之旅,ad_video_starfish,,2,0.82,绿币
2023/10/15,1.16342E+18,380000,1.16,bingo额外wild技能广告,ad_video_wild,,2,1.16,绿币
2023/10/13,1.16267E+18,20000,1.31,看广告开启活动场次-海星之旅,ad_video_starfish,,3,20000,金币
2023/10/15,1.16342E+18,20000,2.82,bingo额外wild技能广告,ad_video_wild,,4,2.5,绿币
2023/10/15,1.16282E+18,8000,1.65,7日签到补签广告,ad_video_checkin_remedy,,0,1.55,绿币
2023/10/13,1.15813E+18,310000,11.59,看广告开启活动场次-海星之旅,ad_video_starfish,,1,0.15,绿币
2023/10/15,1.16343E+18,640000,0.68,看广告开启活动场次-海星之旅,ad_video_starfish,,2,0.47,绿币
2023/10/15,1.1634E+18,540000,1.15,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.95,绿币
2023/10/13,1.16181E+18,1848000,4.32,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,0,40000,金币
2023/10/14,1.14997E+18,30746387,9.08,bingo场次中广告获取道具的弹窗,ad_video_popup_powerup,,1,200000,金币
2023/10/15,1.16344E+18,540000,1.36,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.86,绿币
2023/10/15,1.16344E+18,1140000,1.7,通用翻倍奖励,ad_video_popup_bonus,任务奖励,0,1.7,绿币
2023/10/15,1.16335E+18,698000,5.11,看广告开启活动场次-海星之旅,ad_video_starfish,,3,1.98,绿币
2023/10/15,1.16343E+18,1143000,2.23,bingo场次详情弹窗中看广告开启比赛,ad_video_details_bingo,,2,0.93,绿币
2023/10/15,1.15691E+18,6877030,1.95,礼物界面领取广告奖励,ad_video_gift_ad,,0,0.15,绿币
2023/10/15,1.16341E+18,540000,0.94,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.84,绿币
2023/10/15,1.14203E+18,705000,13.1,礼物界面领取广告奖励,ad_video_gift_ad,,0,0.61,绿币
2023/10/13,1.15572E+18,17917454,81.74,bingo场次中广告获取道具的弹窗,ad_video_popup_powerup,,2,60555,金币
2023/10/15,1.16347E+18,1040000,1.14,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,1.14,绿币
2023/10/13,1.15294E+18,3837000,1.21,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,1,0.51,绿币
2023/10/13,1.14694E+18,219000,9.64,登录奖励恢复连续登录,ad_video_login_recovery,,0,0.75,绿币
2023/10/15,1.16343E+18,740000,1.37,看广告开启活动场次-海星之旅,ad_video_starfish,,2,0.67,绿币
2023/10/15,1.16315E+18,540000,4.24,看广告开启活动场次-海星之旅,ad_video_starfish,,0,0.93,绿币
2023/10/15,1.16341E+18,540000,1.28,看广告开启活动场次-海星之旅,ad_video_starfish,,2,0.64,绿币
2023/10/15,1.16331E+18,540000,1.16,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.96,绿币
2023/10/15,1.16059E+18,1063356,41.23,bingo额外wild技能广告,ad_video_wild,,1,89443,金币
2023/10/15,1.1633E+18,540000,1.1,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,0.9,绿币
2023/10/15,1.16334E+18,640000,1.72,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.62,绿币
