user_id,当前角色个数,当前战斗力,可挑战关卡,等级,当前钻石,渠道,游戏次数,累计获取钻石,累计获取金币,累计角色抽卡,累计广告次数
1192423713627189248,5,459,7,10,2220,Google Ads ACI,12.0,3110.0,476613.0,6.0,13.0
1192435259380080640,8,293,5,12,333,Applovin,9.0,3203.0,600676.0,11.0,6.0
1192443613284413444,5,390,6,12,21,Google Ads ACI,23.0,3906.0,665197.0,6.0,37.0
1192447306838847492,5,300,6,10,99,Unattributed,28.0,2744.0,501970.0,6.0,3.0
1192466509625036800,11,912,9,12,542,Mintegral,27.0,5892.0,685142.0,31.0,34.0
1192471586481905664,12,829,8,14,2668,Google Ads ACI,10.0,11558.0,811639.0,23.0,5.0
1192473490662363136,7,174,4,9,992,Applovin,7.0,2392.0,307598.0,9.0,1.0
1192520168589242368,6,240,5,9,1011,Organic,9.0,1951.0,319011.0,7.0,5.0
1192530228551888896,3,186,5,8,635,Organic,8.0,1705.0,190973.0,4.0,4.0
1192562749381545984,4,120,3,9,1560,Google Ads ACI,7.0,1240.0,197900.0,3.0,1.0
1192598565440987138,8,170,4,10,657,Organic,7.0,2007.0,266349.0,8.0,2.0
1192611136239837184,4,175,3,9,1957,Organic,5.0,1557.0,196826.0,3.0,2.0
1192614687334731776,4,151,3,8,470,Google Ads ACI,7.0,1460.0,161871.0,3.0,3.0
1192632926869655554,3,38,2,2,21,Unattributed,2.0,271.0,952.0,2.0,null
1192646722761789440,4,196,4,10,2523,Organic,5.0,2153.0,336664.0,3.0,null
1192652035044945920,8,377,7,10,988,Organic,12.0,3618.0,390231.0,17.0,26.0
1192655497744887808,11,724,9,12,53,Applovin,18.0,4253.0,726254.0,19.0,19.0
1192657526898831360,10,454,8,11,80,Organic,14.0,3330.0,739606.0,18.0,2.0
1192676657366835200,5,162,3,8,2467,Google Ads ACI,3.0,2117.0,216920.0,5.0,null
1192703362357800960,4,324,5,8,1242,Google Ads ACI,7.0,2232.0,251050.0,4.0,14.0
1192718270818422789,8,280,5,9,1016,Google Ads ACI,11.0,3946.0,420259.0,15.0,21.0
1192727560451002368,4,116,3,6,797,Organic,5.0,547.0,77550.0,3.0,4.0
1192732948051267584,5,341,6,9,2182,Google Ads ACI,6.0,2982.0,282863.0,7.0,12.0
1192760122137382912,6,516,9,14,1437,Google Ads ACI,23.0,4767.0,938085.0,7.0,42.0
1192771128926416896,9,357,5,12,112,Organic,13.0,3022.0,521349.0,14.0,2.0
1192778175424241670,8,361,5,10,634,Applovin,15.0,3184.0,353667.0,13.0,2.0
1192783472645640192,7,264,4,11,13,Applovin,6.0,2452.0,371359.0,13.0,14.0
1192783665323585536,12,569,8,12,35,Organic,15.0,3585.0,754424.0,21.0,25.0
1192789755260055552,4,320,4,12,2115,Applovin,19.0,2796.0,459784.0,3.0,23.0
1192790493403025408,7,311,5,13,1797,Google Ads ACI,16.0,3147.0,565532.0,11.0,15.0
1192793539650527232,7,578,8,13,984,Organic,17.0,4934.0,884224.0,9.0,36.0
1192796053879926784,5,267,6,11,3106,Google Ads ACI,6.0,2556.0,378210.0,5.0,12.0
1192811418693406720,7,307,6,12,142,Applovin,10.0,2842.0,488280.0,9.0,6.0
1192811504735358976,7,409,5,9,2987,Amoad-DH,5.0,4187.0,408506.0,7.0,23.0
1192835515628400644,4,277,3,9,2284,Organic,4.0,1884.0,230255.0,6.0,8.0
1192877247069949952,5,426,6,11,1902,Organic,11.0,3372.0,459240.0,6.0,18.0
1192887736034402304,7,595,5,12,963,Applovin,15.0,4333.0,580806.0,8.0,6.0
1192894409310482433,4,346,4,10,1339,Applovin,8.0,2309.0,307472.0,3.0,7.0
1192959396867485696,8,660,9,13,1505,Applovin,25.0,6359.0,1230480.0,9.0,9.0
1192964532704649216,10,321,7,13,717,Organic,21.0,3017.0,644602.0,16.0,29.0
1192993244766539776,11,791,8,11,75,Google Ads ACI,16.0,3865.0,583062.0,17.0,19.0
1193078082370539520,3,149,3,5,1284,Applovin,8.0,1084.0,57550.0,2.0,1.0
1193094292738940928,4,22,3,7,237,Mintegral,4.0,587.0,112482.0,4.0,null
1193107031729381376,6,185,3,9,1526,Unattributed,3.0,1126.0,179935.0,5.0,null
1193113158680580096,8,165,5,11,565,Organic,7.0,3015.0,359951.0,14.0,6.0
1193121245768462336,4,279,5,10,2895,Organic,22.0,2825.0,432737.0,5.0,23.0
1193123920715190272,5,256,6,9,1464,Organic,7.0,2484.0,282151.0,5.0,6.0
1193148166568947712,6,327,6,10,2282,Applovin,14.0,2532.0,429100.0,6.0,1.0
1193169589383475200,7,28,3,8,279,Organic,4.0,1129.0,149990.0,6.0,2.0
1193179686830612480,9,387,5,10,404,Organic,13.0,3044.0,343245.0,14.0,7.0
1193188668290895874,11,875,8,14,250,Organic,9.0,5180.0,848393.0,29.0,19.0
1193191819085623296,5,245,7,12,2818,Organic,8.0,3508.0,511100.0,6.0,18.0
1193215911000027136,2,67,3,3,237,Mintegral,8.0,397.0,30180.0,2.0,1.0
1193246613418549248,8,753,8,14,654,Organic,21.0,4764.0,1153057.0,10.0,38.0
1193250105185021952,1,10,1,1,null,Organic,1.0,null,null,null,null
1193258366156148736,2,161,3,9,1426,Organic,4.0,1026.0,179360.0,2.0,null
1193258439103488000,3,133,3,9,1488,Mintegral,6.0,1088.0,208195.0,2.0,9.0
1193278712242515980,3,232,5,9,1789,Google Ads ACI,7.0,2729.0,302165.0,5.0,4.0
1193287909927563264,10,718,9,14,519,Unity ads_MB,10.0,3809.0,685463.0,20.0,30.0
1193294434691715072,8,225,6,13,477,Organic,11.0,2807.0,580601.0,15.0,10.0
1193299975912566784,13,910,10,14,40,Organic,26.0,5004.0,1069906.0,31.0,30.0
1193306829145255936,4,208,4,4,1741,Google Ads ACI,4.0,1591.0,43454.0,5.0,1.0
1193315114049081348,9,469,6,10,3996,Google Ads ACI,9.0,3676.0,417883.0,10.0,5.0
1193318540757708800,8,353,6,8,255,Google Ads ACI,7.0,2445.0,257381.0,13.0,9.0
1193320503775866880,5,402,8,11,2771,Organic,19.0,3561.0,671232.0,7.0,20.0
1193337055703207941,9,267,5,10,49,Organic,8.0,2599.0,407161.0,14.0,6.0
1193341750085693440,12,827,7,12,750,Organic,17.0,4715.0,879804.0,18.0,34.0
1193341773900947456,7,285,6,10,299,Unity ads_MB,5.0,2689.0,327474.0,10.0,9.0
1193345329127239680,8,180,5,9,125,Organic,8.0,2125.0,261811.0,12.0,2.0
1193345869114515456,4,369,4,11,741,Organic,6.0,2453.0,417193.0,6.0,4.0
1193357924626341888,3,56,2,2,180,Applovin,2.0,460.0,1991.0,2.0,null
1193361206123958274,4,62,3,9,1084,Google Ads ACI,5.0,984.0,158069.0,3.0,2.0
1193389453075288064,10,410,8,12,1477,Applovin,19.0,3827.0,577768.0,17.0,17.0
1193391278524469248,12,610,6,12,107,Amoad-DH,16.0,6357.0,694426.0,29.0,27.0
1193407825208946688,9,225,7,11,500,Applovin,16.0,2950.0,482009.0,16.0,15.0
1193420756717932544,7,336,5,9,283,Google Ads ACI,6.0,2123.0,270656.0,11.0,16.0
1193428300375011332,8,370,7,12,1164,Organic,11.0,3954.0,525727.0,13.0,10.0
1193457769735270400,4,57,3,8,1125,Unattributed,3.0,1075.0,127540.0,3.0,4.0
1151344476896112640,2,249,5,8,6525,Organic,7.0,6255.0,208289.0,3.0,null
1180072341665746944,12,694,8,13,1242,Organic,14.0,5002.0,711486.0,23.0,30.0
1180078933312286724,3,0,2,2,180,Organic,1.0,430.0,800.0,2.0,null
1180123429769056256,9,788,11,14,698,Organic,54.0,4708.0,1541581.0,25.0,39.0
1180152916690866176,3,0,3,8,1469,Organic,5.0,1119.0,111786.0,2.0,3.0
1180154873878949888,8,464,8,12,299,Unity ads_MB,13.0,4229.0,691004.0,17.0,22.0
1180160408913195008,3,211,3,9,431,Google Ads ACI,5.0,1541.0,237470.0,2.0,7.0
1180162550478680064,6,132,4,10,989,Organic,9.0,1869.0,295968.0,7.0,5.0
1180171474095316992,6,154,3,7,87,Google Ads ACI,7.0,987.0,96360.0,6.0,2.0
1180174720620826624,2,65,3,7,1303,TT-madhouse,2.0,1003.0,93679.0,1.0,null
1180188487043784704,4,165,3,9,1778,Google Ads ACI,4.0,1378.0,211880.0,3.0,2.0
1180192735856963584,7,226,4,9,73,Google Ads ACI,5.0,2073.0,278458.0,11.0,6.0
1180204090236346368,3,259,3,11,2375,Organic,6.0,1825.0,368450.0,3.0,12.0
1180237058145267714,2,76,2,2,131,Applovin,4.0,381.0,734.0,2.0,null
1180258938994561024,2,47,3,7,1027,Organic,6.0,727.0,97727.0,2.0,1.0
1180259595734491136,4,521,9,13,1256,Organic,18.0,4526.0,916598.0,6.0,51.0
1180262796898607104,9,437,7,12,821,Organic,7.0,3231.0,475561.0,19.0,13.0
1180274401199788034,9,183,4,11,91,Google Ads ACI,8.0,2241.0,413844.0,12.0,4.0
1180274957146398720,3,190,6,9,2475,Google Ads ACI,6.0,2075.0,254650.0,5.0,10.0
1180278116254228480,4,142,4,7,461,Organic,4.0,1501.0,124902.0,3.0,null
1180282206220722176,4,118,3,8,57,Organic,7.0,975.0,214541.0,5.0,null
1180285681281277952,8,313,4,14,124,Organic,11.0,2274.0,735453.0,13.0,null
1180289847084982272,4,213,5,10,2549,Organic,7.0,2089.0,289548.0,4.0,8.0
1180291555886374912,7,703,8,12,227,Organic,11.0,3917.0,637113.0,9.0,1.0
1180301881948250112,3,144,3,9,1608,Organic,7.0,1288.0,188500.0,3.0,null
1180308660056760320,5,161,4,7,37,Google Ads ACI,5.0,937.0,116500.0,7.0,5.0
1180321387546415104,6,162,3,8,1504,Organic,4.0,1154.0,125857.0,4.0,1.0
1180326417540329472,3,94,3,7,1057,Organic,3.0,757.0,89127.0,2.0,null
1180333511320539136,5,426,4,7,672,Organic,5.0,1712.0,163578.0,6.0,null
1180336583107153920,9,676,9,14,459,Organic,24.0,4379.0,1135185.0,19.0,37.0
1180381253040353280,5,169,5,8,193,Organic,8.0,2183.0,211548.0,7.0,1.0
1180383256139280384,8,416,8,13,2212,Organic,28.0,4462.0,907447.0,17.0,20.0
1180411616978546688,2,10,2,2,61,Google Ads ACI,2.0,11.0,2140.0,1.0,null
1180429304392060932,5,171,6,11,2623,Google Ads ACI,6.0,2453.0,380670.0,6.0,8.0
1180441521233604608,4,105,3,7,429,Google Ads ACI,3.0,1029.0,102075.0,5.0,null
1180453124943388672,4,210,4,11,2956,Google Ads ACI,10.0,2406.0,404540.0,3.0,9.0
1180462401863036932,2,0,2,2,485,Google Ads ACI,2.0,435.0,3778.0,1.0,null
1180463154589601792,2,0,2,2,145,Google Ads ACI,5.0,185.0,68244.0,1.0,null
1180481732567113728,7,386,5,13,116,Organic,11.0,2966.0,614431.0,15.0,14.0
1180511259305451520,6,192,4,9,610,Organic,6.0,1760.0,199167.0,7.0,9.0
1180512624694009862,6,113,3,9,10,Google Ads ACI,6.0,890.0,183000.0,5.0,7.0
1180517596114464768,2,0,3,2,260,Organic,3.0,210.0,3750.0,1.0,null
1180519382674055170,16,780,11,14,133,Google Ads ACI,16.0,12813.0,875292.0,56.0,18.0
1180530143978860544,3,58,3,7,260,TT-Palmax,4.0,260.0,76243.0,2.0,null
1180530642262167552,6,411,6,10,439,Organic,6.0,4309.0,518841.0,6.0,null
1180544093000835072,10,436,9,14,218,Google Ads ACI,45.0,3868.0,964568.0,19.0,20.0
1180547397730705408,5,271,6,9,994,Organic,7.0,2314.0,247765.0,6.0,10.0
1180549229077073920,3,172,3,9,480,Organic,6.0,1420.0,226350.0,2.0,null
1180551441903783942,7,338,4,11,85,Organic,14.0,3135.0,474194.0,8.0,16.0
1180566288863338496,5,240,5,11,2001,Organic,9.0,2951.0,391246.0,4.0,25.0
1180566637594554368,9,314,5,11,198,Organic,5.0,2348.0,343437.0,11.0,5.0
1180589823455399936,3,153,4,7,1750,Google Ads ACI,6.0,1450.0,107859.0,2.0,4.0
1180594605167484928,4,307,6,12,1926,Organic,8.0,2616.0,500621.0,5.0,1.0
1180596669968814080,2,20,1,2,50,Unity ads_MB,2.0,null,340.0,1.0,null
1180609686857064450,8,282,5,10,892,Google Ads ACI,8.0,2542.0,332354.0,11.0,3.0
